hopcount;cpuusage;cputotal;numservices
5;0.0;4480000;0
4;0.0;2800;0
3;0.0;2800;0
2;0.0;2800;0
1;399.99999999999994;2800;9
1;399.99999999999994;2800;9
1;399.99999999999994;2800;9
2;0.0;2800;0
1;399.99999999999994;2800;9
1;399.99999999999994;2800;9
1;399.99999999999994;2800;9
2;0.0;2800;0
1;399.99999999999994;2800;9
1;399.99999999999994;2800;9
1;399.99999999999994;2800;9
3;0.0;2800;0
2;0.0;2800;0
1;399.99999999999994;2800;9
1;399.99999999999994;2800;9
1;399.99999999999994;2800;9
2;0.0;2800;0
1;399.99999999999994;2800;9
1;399.99999999999994;2800;9
1;399.99999999999994;2800;9
2;0.0;2800;0
1;399.99999999999994;2800;9
1;399.99999999999994;2800;9
1;399.99999999999994;2800;9
3;0.0;2800;0
2;0.0;2800;0
1;399.99999999999994;2800;9
1;399.99999999999994;2800;9
1;399.99999999999994;2800;9
2;0.0;2800;0
1;399.99999999999994;2800;9
1;399.99999999999994;2800;9
1;399.99999999999994;2800;9
2;0.0;2800;0
1;399.99999999999994;2800;9
1;399.99999999999994;2800;9
1;399.99999999999994;2800;9
